date,miles
1/1/2020,89837598
2/1/2020,89358803
3/1/2020,41775343
4/1/2020,2925425
5/1/2020,4042717
6/1/2020,5683902
7/1/2020,7243871
8/1/2020,16268429
9/1/2020,29693411
10/1/2020,28398655
11/1/2020,33603025
12/1/2020,33711338
1/1/2021,36463938
2/1/2021,43299774
3/1/2021,41949931
4/1/2021,46997950
5/1/2021,53664895
6/1/2021,59678730
7/1/2021,63349598
8/1/2021,64775669
9/1/2021,66891756
10/1/2021,67131259
11/1/2021,73950856
12/1/2021,74267451
1/1/2022,66105295
2/1/2022,75045854
3/1/2022,76791402
4/1/2022,78464307
5/1/2022,79075258
6/1/2022,78783495
7/1/2022,77677176
8/1/2022,81717497
9/1/2022,85599046
10/1/2022,84406535
11/1/2022,84947042
12/1/2022,84713014
1/1/2023,86889436
2/1/2023,88384746
3/1/2023,87790509
4/1/2023,88358465
5/1/2023,89363704
6/1/2023,89381964
7/1/2023,90141566
8/1/2023,91580270
9/1/2023,93124026
10/1/2023,93078919
11/1/2023,92316729
12/1/2023,92659342
1/1/2024,92311746
2/1/2024,93529008
3/1/2024,93911900
4/1/2024,93755820
5/1/2024,94359916
6/1/2024,96308686
7/1/2024,95135481
8/1/2024,94843182
9/1/2024,94138547
10/1/2024,93805288
11/1/2024,94810700
12/1/2024,95757867
1/1/2025,93917641
